日期,天气状况,气温,风力风向
2017年12月31日,晴 /晴,9℃ / -4℃,东南风 <3级 /西北风 <3级
2018年1月1日,多云 /多云,9℃ / -2℃,东南风 <3级 /北风 <3级
2018年1月2日,小雨 /雨夹雪,4℃ / -3℃,南风 <3级 /北风 <3级
2018年1月3日,大雪 /暴雪,0℃ / -3℃,东风 <3级 /西风 <3级
2018年1月4日,小雪 /阴,-3℃ / -4℃,西南风 <3级 /西南风 <3级
2018年1月5日,多云 /小雪,-4℃ / -6℃,西南风 <3级 /西风 <3级
2018年1月6日,中雪 /阴,-2℃ / -5℃,西风 <3级 /西风 3～4级
2018年1月7日,阴 /多云,2℃ / -8℃,西风 3～4级 /西风 3～4级
2018年1月8日,晴 /晴,4℃ / -10℃,西北风 3～4级 /西北风 <3级
2018年1月9日,晴 /晴,4℃ / -9℃,西北风 <3级 /西北风 <3级
2018年1月10日,晴 /晴,7℃ / -9℃,西北风 <3级 /西风 <3级
2018年1月11日,晴 /晴,5℃ / -10℃,北风 <3级 /北风 <3级
2018年1月12日,多云 /多云,3℃ / -8℃,东风 <3级 /西北风 <3级
2018年1月13日,多云 /晴,3℃ / -5℃,东南风 <3级 /西北风 <3级
2018年1月14日,晴 /晴,5℃ / -4℃,东风 <3级 /西北风 <3级
2018年1月15日,阴 /阴,5℃ / -4℃,西风 <3级 /西北风 <3级
2018年1月16日,晴 /多云,7℃ / -5℃,东风 <3级 /西北风 <3级
2018年1月17日,多云 /多云,7℃ / -4℃,西南风 <3级 /北风 <3级
2018年1月18日,阴 /多云,4℃ / -5℃,西南风 <3级 /西北风 <3级
2018年1月19日,多云 /多云,8℃ / -5℃,东北风 <3级 /北风 <3级
2018年1月20日,阴 /阴,9℃ / -3℃,西北风 <3级 /西北风 <3级
2018年1月21日,多云 /多云,10℃ / -3℃,东北风 <3级 /北风 <3级
2018年1月22日,多云 /晴,10℃ / -3℃,东风 <3级 /西北风 <3级
2018年1月23日,多云 /小雪,4℃ / -4℃,东风 3～4级 /北风 <3级
2018年1月24日,中雪 /大雪,2℃ / -6℃,西南风 <3级 /东南风 <3级
2018年1月25日,小雪 /小雪,-2℃ / -7℃,东风 <3级 /东风 <3级
2018年1月26日,小雪 /小雪,-1℃ / -7℃,东风 3～4级 /东风 <3级
2018年1月27日,小雪 /阴,-3℃ / -8℃,东南风 <3级 /西北风 <3级
2018年1月28日,阴 /多云,2℃ / -10℃,南风 <3级 /西北风 <3级
2018年1月29日,晴 /晴,-2℃ / -10℃,东风 <3级 /西北风 <3级
2018年1月30日,多云 /多云,1℃ / -8℃,西北风 3～4级 /西风 <3级
2018年1月31日,晴 /晴,3℃ / -10℃,西风 <3级 /西北风 <3级
2018年2月1日,多云 /多云,5℃ / -8℃,西北风 <3级 /西北风 <3级
2018年2月2日,晴 /晴,0℃ / -9℃,东南风 <3级 /东北风 <3级
2018年2月3日,晴 /晴,0℃ / -10℃,东南风 <3级 /西北风 <3级
2018年2月4日,晴 /晴,2℃ / -10℃,东风 <3级 /西北风 <3级
2018年2月5日,晴 /晴,5℃ / -6℃,东南风 <3级 /西北风 <3级
2018年2月6日,晴 /多云,7℃ / -5℃,南风 <3级 /西北风 <3级
2018年2月7日,多云 /多云,7℃ / -6℃,东南风 <3级 /东北风 <3级
2018年2月8日,多云 /多云,7℃ / -3℃,东风 <3级 /西北风 <3级
2018年2月9日,阴 /多云,8℃ / -3℃,西风 <3级 /西北风 <3级
2018年2月10日,多云 /晴,6℃ / -6℃,南风 <3级 /西北风 <3级
2018年2月11日,晴 /晴,6℃ / -6℃,东南风 <3级 /北风 <3级
2018年2月12日,晴 /晴,8℃ / -4℃,东风 <3级 /西风 <3级
2018年2月13日,多云 /多云,12℃ / -4℃,西南风 <3级 /西风 <3级
2018年2月14日,多云 /多云,13℃ / 0℃,东风 <3级 /东北风 <3级
2018年2月15日,多云 /多云,10℃ / -2℃,东南风 <3级 /西北风 <3级
2018年2月16日,多云 /小雨,8℃ / 1℃,东北风 <3级 /西风 <3级
2018年2月17日,小雨 /阴,8℃ / -1℃,西风 <3级 /西北风 <3级
2018年2月18日,阴 /阴,8℃ / 0℃,东风 <3级 /西风 <3级
2018年2月19日,多云 /阴,11℃ / 1℃,东风 <3级 /东北风 <3级
2018年2月20日,小雨 /阴,8℃ / 0℃,西风 3～4级 /西风 <3级
2018年2月21日,晴 /多云,8℃ / -2℃,南风 <3级 /西北风 <3级
2018年2月22日,晴 /多云,15℃ / -1℃,西北风 <3级 /西风 3～4级
2018年2月23日,多云 /多云,16℃ / 1℃,西风 3～4级 /西风 3～4级
